movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_imdb_rating,movie_imdb_metascore,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
THE BEACH,"$50,000,000.00 ","$39,778,599.00 ","$39,778,599.00 ",romance,6.6,43,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Danny Boyle,Leonardo DiCaprio,Tilda Swinton,Daniel York,11-Feb,2000
THE VIRGIN SUICIDES,"$6,000,000.00 ","$4,859,475.00 ","$10,619,770.00 ",romance,7.2,76,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sofia Coppola,Kirsten Dunst,Josh Hartnett,James Woods,19-May,2000
LEGALLY BLONDE,"$18,000,000.00 ","$96,493,426.00 ","$141,809,235.00 ",romance,6.4,59,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Robert Luketic,Reese Witherspoon,Luke Wilson,Selma Blair,13-Jul,2001
PEARL HARBOR,"$151,500,000.00 ","$198,539,855.00 ","$449,239,853.00 ",romance,6.2,44,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Michael Bay,Ben Affleck,Kate Beckinsale,Josh Hartnett,25-May,2001
SHREK,"$50,000,000.00 ","$267,655,011.00 ","$491,812,794.00 ",romance,7.9,84,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Vicky Jenson,(voice),(voice),(voice),18-May,2001
THE PRINCESS DIARIES,"$30,000,000.00 ","$108,244,774.00 ","$165,334,774.00 ",romance,6.4,52,"https://m.media-amazon.com/images/M/MV5BMzcwYjEwMzEtZTZmMi00ZGFhLWJhZjItMDAzNDVkNjZmM2U5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg",Garry Marshall,Julie Andrews,Anne Hathaway,Hector Elizondo,3-Aug,2001
VANILLA SKY,"$70,000,000.00 ","$100,614,858.00 ","$202,726,605.00 ",romance,6.9,45,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Cameron Crowe,Tom Cruise,Penélope Cruz,Cameron Diaz,14-Dec,2001
A WALK TO REMEMBER,"$11,000,000 ","$41,227,069 ","$46,060,861 ",romance,7.3,35,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Adam Shankman,Mandy Moore,Shane West,Peter Coyote,25-Jan,2002
MY BIG FAT GREEK WEDDING,"$5,000,000 ","$241,438,208 ","$374,890,034 ",romance,6.6,62,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joel Zwick,Nia Vardalos,John Corbett,Michael Constantine,2-Aug,2002
SECRETARY,"$4,000,000 ","$4,046,737 ","$9,412,015 ",romance,6.9,63,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Steven Shainberg,James Spader,Maggie Gyllenhaal,Jeremy Davies,11-Oct,2002
UNFAITHFUL,"$50,000,000.00 ","$52,752,475.00 ","$119,114,494.00 ",romance,6.7,63,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Adrian Lyne,Richard Gere,Diane Lane,Olivier Martinez,10-May,2002
HOW TO LOSE A GUY IN 10 DAYS,"$50,000,000.00 ","$105,807,520.00 ","$178,503,788.00 ",romance,6.4,45,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Donald Petrie,Kate Hudson,Matthew McConaughey,Adam Goldberg,7-Feb,2003
LOVE ACTUALLY,"$45,000,000.00 ","$59,472,278.00 ","$246,546,998.00 ",romance,7.6,55,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Richard Curtis,Hugh Grant,Martine McCutcheon,Liam Neeson,14-Nov,2003
THE HOURS,"$25,000,000 ","$41,675,994 ","$97,030,468 ",romance,7.5,80,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Stephen Daldry,Meryl Streep,Nicole Kidman,Julianne Moore,14-Feb,2003
50 FIRST DATES,"$75,000,000.00 ","$120,776,832.00 ","$196,320,329.00 ",romance,6.8,48,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Peter Segal,Adam Sandler,Drew Barrymore,Rob Schneider,13-Feb,2004
BEFORE SUNSET,"$2,000,000 ","$5,792,822 ","$11,217,346 ",romance,8.1,90,"https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_UX67_CR0,0,67,98_AL_.jpg",Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,30-Jul,2004
BIG FISH,"$70,000,000.00 ","$66,432,867.00 ","$123,954,323.00 ",romance,8,58,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Tim Burton,Ewan McGregor,Albert Finney,Billy Crudup,9-Jan,2004
ETERNAL SUNSHINE OF THE SPOTLESS MIND,"$20,000,000 ","$34,366,518 ","$72,401,378 ",romance,8.3,89,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,19-Mar,2004
