movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_imdb_rating,movie_imdb_metascore,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
28 WEEKS LATER,"$15,000,000 ","$28,638,916 ","$64,232,714 ",horror,6.9,78,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Juan Carlos Fresnadillo,Jeremy Renner,Rose Byrne,Robert Carlyle,11-May,2007
30 DAYS OF NIGHT,"$30,000,000.00 ","$39,568,996.00 ","$80,276,156.00 ",horror,6.6,53,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Slade,Josh Hartnett,Melissa George,Danny Huston,19-Oct,2007
47 METERS DOWN,"$5,300,000 ","$44,307,193 ","$62,633,705 ",horror,5.6,52,"https://m.media-amazon.com/images/M/MV5BYTcyMDRiNDQtODRkMy00YjU0LWEwYTEtMzk3NzIzODYzMjU2XkEyXkFqcGdeQXVyMTk5MzE1MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Johannes Roberts,Mandy Moore,Claire Holt,Matthew Modine,16-Jun,2017
47 METERS DOWN: UNCAGED,"$12,000,000 ","$22,260,900 ","$47,582,563 ",horror,5,43,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Johannes Roberts,Sophie Nélisse,Corinne Foxx,Brianne Tju,16-Aug,2019
A QUIET PLACE,"$17,000,000 ","$188,024,361 ","$334,876,670 ",horror,7.5,82,"https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_UX67_CR0,0,67,98_AL_.jpg",John Krasinski,Emily Blunt,John Krasinski,Millicent Simmonds,6-Apr,2018
ALIEN: COVENANT,"$97,000,000.00 ","$74,262,031.00 ","$238,521,247.00 ",horror,6.4,65,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,19-May,2017
AMERICAN PSYCHO,"$8,000,000 ","$15,070,285 ","$34,270,285 ",horror,7.6,64,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mary Harron,Christian Bale,Justin Theroux,Josh Lucas,14-Apr,2000
ANNIHILATION,"$55,000,000.00 ","$32,732,301.00 ","$43,070,915.00 ",horror,6.8,79,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,23-Feb,2018
"AS ABOVE, SO BELOW","$5,000,000 ","$21,222,315 ","$41,824,066 ",horror,6.2,39,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,John Erick Dowdle,Perdita Weeks,Ben Feldman,Edwin Hodge,29-Aug,2014
ASSASSINATION NATION,"$7,000,000 ","$2,005,142 ","$2,852,759 ",horror,6,56,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sam Levinson,Odessa Young,Abra,Suki Waterhouse,21-Sep,2018
AWAKE,"$8,600,000 ","$14,373,825 ","$32,968,648 ",horror,4.9,35,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mark Raso,Gina Rodriguez,Ariana Greenblatt,Lucius Hoyos,9-Jun,2021
BARBARIAN,"$4,500,000 ","$40,842,944 ","$45,352,337 ",horror,7,78,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Zach Cregger,Georgina Campbell,Bill Skarsgård,Justin Long,9-Sep,2022
BLADE: TRINITY,"$65,000,000.00 ","$52,397,389.00 ","$131,353,165.00 ",horror,5.8,38,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David S. Goyer,Wesley Snipes,Kris Kristofferson,Parker Posey,8-Dec,2004
BONE TOMAHAWK,"$2,000,000 ",$0 ,"$475,846 ",horror,7.1,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,S. Craig Zahler,Kurt Russell,Patrick Wilson,Matthew Fox,19-Feb,2016
BRIGHTBURN,"$7,000,000 ","$17,259,427 ","$33,183,640 ",horror,6.1,44,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Yarovesky,Elizabeth Banks,David Denman,Jackson A. Dunn,24-May,2019
CABIN FEVER,"$1,500,000.00 ","$21,158,188.00 ","$30,351,664.00 ",horror,5.6,56,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Eli Roth,Jordan Ladd,Rider Strong,James DeBello,12-Sep,2003
CLOVERFIELD,"$25,000,000 ","$80,048,433 ","$171,302,226 ",horror,7,64,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Matt Reeves,Mike Vogel,Jessica Lucas,Lizzy Caplan,18-Jan,2008
COME PLAY,"$9,000,000 ","$10,475,990 ","$12,624,174 ",horror,5.7,58,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jacob Chase,Azhy Robertson,Gillian Jacobs,John Gallagher Jr.,30-Oct,2020
CONSTANTINE,"$75,000,000.00 ","$75,976,178.00 ","$221,593,554.00 ",horror,7,50,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Francis Lawrence,Keanu Reeves,Rachel Weisz,Djimon Hounsou,18-Feb,2005
CRIMSON PEAK,"$55,000,000.00 ","$31,090,320.00 ","$74,966,854.00 ",horror,6.5,66,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Guillermo del Toro,Mia Wasikowska,Jessica Chastain,Tom Hiddleston,16-Oct,2015
DARK SHADOWS,"$150,000,000.00 ","$79,727,149.00 ","$238,202,668.00 ",horror,6.2,55,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Tim Burton,Johnny Depp,Michelle Pfeiffer,Eva Green,11-May,2012
DAWN OF THE DEAD,"$28,000,000.00 ","$58,990,765.00 ","$103,452,875.00 ",horror,7.3,59,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Zack Snyder,Sarah Polley,Ving Rhames,Mekhi Phifer,19-Mar,2004
DOCTOR SLEEP,"$45,000,000.00 ","$31,581,712.00 ","$71,720,838.00 ",horror,7.3,59,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mike Flanagan,Ewan McGregor,Rebecca Ferguson,Kyliegh Curran,8-Nov,2019
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS,"$200,000,000.00 ","$411,331,607.00 ","$952,224,986.00 ",horror,6.9,60,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,6-May,2022
DRACULA UNTOLD,"$70,000,000.00 ","$55,991,880.00 ","$220,241,723.00 ",horror,6.2,40,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Gary Shore,Luke Evans,Dominic Cooper,Sarah Gadon,10-Oct,2014
EDEN LAKE,"$2,000,000 ","$7,321 ","$4,294,373 ",horror,6.7,65,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Watkins,Kelly Reilly,Michael Fassbender,Tara Ellis,12-Sep,2008
ESCAPE ROOM,"$9,000,000 ","$57,000,756 ","$155,615,727 ",horror,6.4,48,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Adam Robitel,Taylor Russell,Logan Miller,Jay Ellis,4-Jan,2019
EVIL DEAD,"$17,000,000 ","$54,239,856 ","$99,041,947 ",horror,6.5,57,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Fede Alvarez,Jane Levy,Shiloh Fernandez,Jessica Lucas,5-Apr,2013
FINAL DESTINATION,"$23,000,000.00 ","$53,302,314.00 ","$112,036,870.00 ",horror,6.7,36,"https://m.media-amazon.com/images/M/MV5BZTI0NGM2OGYtNzVmMi00NGQ2LTk2MDAtN2RmYjIzMGRkZGYxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",James Wong,Devon Sawa,Ali Larter,Kerr Smith,17-Mar,2000
FREAKY,"$6,000,000.00 ","$9,030,855.00 ","$18,073,433.00 ",horror,6.3,67,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Christopher Landon,Vince Vaughn,Kathryn Newton,Celeste O'Connor,13-Nov,2020
FRIDAY THE 13TH,"$550,000 ","$39,754,601 ","$59,754,601 ",horror,5.5,34,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Marcus Nispel,Jared Padalecki,Amanda Righetti,Derek Mears,13-Feb,2009
GET OUT,"$5,000,000 ","$175,837,935 ","$252,297,405 ",horror,7.7,85,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,24-Feb,2017
GLASS,"$20,000,000 ","$111,048,468 ","$246,999,039 ",horror,6.6,43,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,18-Jan,2019
GREEN ROOM,"$5,000,000 ","$3,220,371 ","$3,807,503 ",horror,7,79,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jeremy Saulnier,Anton Yelchin,Imogen Poots,Alia Shawkat,13-May,2016
HALLOWEEN ENDS,"$20,000,000 ","$64,079,860 ","$105,016,358 ",horror,5,47,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Gordon Green,Jamie Lee Curtis,Andi Matichak,James Jude Courtney,14-Oct,2022
HAPPY DEATH DAY,"$5,000,000 ","$55,683,845 ","$125,010,260 ",horror,6.6,58,"https://m.media-amazon.com/images/M/MV5BY2M3MTM4ZTMtNjg0ZC00ZDVkLTkxNWQtNThkZGZkYTQ1MjAyXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX67_CR0,0,67,98_AL_.jpg",Christopher Landon,Jessica Rothe,Israel Broussard,Ruby Modine,13-Oct,2017
HAPPY DEATH DAY 2U,"$9,000,000 ","$28,148,130 ","$64,686,515 ",horror,6.2,57,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Christopher Landon,Jessica Rothe,Israel Broussard,Phi Vu,13-Feb,2019
HELLBOY,"$60,000,000.00 ","$59,623,958.00 ","$99,823,958.00 ",horror,5.2,31,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Neil Marshall,David Harbour,Milla Jovovich,Ian McShane,12-Apr,2019
HELLRAISER,"$1,000,000 ","$14,564,000 ","$14,575,148 ",horror,6,55,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Bruckner,Odessa A’zion,Jamie Clayton,Adam Faison,7-Oct,2022
HEREDITARY,"$10,000,000 ","$44,069,456 ","$81,263,489 ",horror,7.3,87,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ari Aster,Toni Collette,Milly Shapiro,Gabriel Byrne,8-Jun,2018
HOSTEL,"$4,800,000 ","$47,326,473 ","$82,241,110 ",horror,5.9,55,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Eli Roth,Jay Hernandez,Derek Richardson,Eythor Gudjonsson,6-Jan,2006
HOSTEL: PART II,"$7,500,000 ","$17,544,812 ","$33,606,409 ",horror,5.5,46,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Eli Roth,Lauren German,Heather Matarazzo,Bijou Phillips,8-Jun,2007
HOTEL TRANSYLVANIA,"$85,000,000.00 ","$148,313,048.00 ","$378,119,469.00 ",horror,7,47,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Genndy Tartakovsky,(voice),(voice),(voice),28-Sep,2012
I AM LEGEND,"$150,000,000.00 ","$256,393,010.00 ","$585,532,684.00 ",horror,7.2,65,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Francis Lawrence,Will Smith,Alice Braga,Charlie Tahan,14-Dec,2007
I SPIT ON YOUR GRAVE,"$1,750,000.00 ","$93,051.00 ","$1,278,471.00 ",horror,6.2,27,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Steven R. Monroe,Sarah Butler,Jeff Branson,Andrew Howard,17-Jun,2010
INSIDIOUS,"$1,500,000.00 ","$54,009,150.00 ","$99,870,886.00 ",horror,6.8,52,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Wan,Patrick Wilson,Rose Byrne,Ty Simpkins,1-Apr,2011
INTRUDERS,"$1,587,000.00 ",$0.00 ,"$8,019.00 ",horror,5.7,39,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Adam Schindler,Rory Culkin,Leticia Jimenez,Jack Kesy,15-Jan,2016
IT COMES AT NIGHT,"$5,000,000 ","$13,985,117 ","$19,720,203 ",horror,6.2,78,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Trey Edward Shults,Joel Edgerton,Christopher Abbott,Carmen Ejogo,9-Jun,2017
IT FOLLOWS,"$2,000,000 ","$14,674,077 ","$23,236,296 ",horror,6.8,83,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Robert Mitchell,Maika Monroe,Keir Gilchrist,Olivia Luccardi,13-Mar,2015
JEEPERS CREEPERS,"$10,000,000 ","$37,904,175 ","$58,939,035 ",horror,6.2,49,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Victor Salva,Gina Philips,Justin Long,Jonathan Breck,31-Aug,2001
KNOCK KNOCK,"$2,000,000 ","$36,336 ","$6,328,516 ",horror,4.9,53,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Eli Roth,Keanu Reeves,Lorenza Izzo,Ana de Armas,9-Oct,2015
LAST NIGHT IN SOHO,"$43,000,000.00 ","$10,127,625.00 ","$22,876,948.00 ",horror,7,65,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Edgar Wright,Thomasin McKenzie,Anya Taylor-Joy,Matt Smith,29-Oct,2021
LEGION,"$26,000,000 ","$40,168,080 ","$67,647,574 ",horror,5.2,32,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Scott Stewart,Paul Bettany,Dennis Quaid,Charles S. Dutton,22-Jan,2010
LIFE,"$75,000,000.00 ","$64,062,587.00 ","$73,521,587.00 ",horror,6.6,54,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Daniel Espinosa,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,24-Mar,2017
MALIGNANT,"$40,000,000.00 ","$13,391,791.00 ","$33,974,421.00 ",horror,6.2,51,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Wan,Annabelle Wallis,Maddie Hasson,George Young,10-Sep,2021
MANDY,"$6,000,000.00 ","$1,233,694.00 ","$1,474,224.00 ",horror,6.5,82,"https://m.media-amazon.com/images/M/MV5BMjk1MjhmZWQtNzU3OC00NDE4LThlODQtNTdhZGM4M2E3MWZkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR0,0,67,98_AL_.jpg",Panos Cosmatos,Nicolas Cage,Andrea Riseborough,Linus Roache,14-Sep,2018
MIDSOMMAR,"$9,000,000 ","$27,426,363 ","$46,754,020 ",horror,7.1,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ari Aster,Florence Pugh,Jack Reynor,Vilhelm Blomgren,3-Jul,2019
MORBIUS,"$75,000,000.00 ","$73,865,530.00 ","$162,759,437.00 ",horror,5.2,35,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Daniel Espinosa,Jared Leto,Matt Smith,Adria Arjona,1-Apr,2022
MOTHER!,"$30,000,000.00 ","$17,800,004.00 ","$44,516,999.00 ",horror,6.6,75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Darren Aronofsky,Jennifer Lawrence,Javier Bardem,Ed Harris,15-Sep,2017
NOPE,"$68,000,000.00 ","$123,277,080.00 ","$171,172,007.00 ",horror,6.9,77,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jordan Peele,Daniel Kaluuya,Keke Palmer,Brandon Perea,22-Jul,2022
OLD,"$18,000,000.00 ","$48,276,510.00 ","$89,836,797.00 ",horror,5.8,55,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,M. Night Shyamalan,Gael García Bernal,Vicky Krieps,Rufus Sewell,23-Jul,2021
ORPHAN,"$20,000,000 ","$41,596,251 ","$78,769,428 ",horror,7,42,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jaume Collet-Serra,Vera Farmiga,Peter Sarsgaard,Isabelle Fuhrman,24-Jul,2009
PIRANHA 3D,"$24,000,000.00 ","$25,003,155.00 ","$83,660,160.00 ",horror,5.5,53,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alexandre Aja,Elisabeth Shue,Jerry O'Connell,Richard Dreyfuss,20-Aug,2010
PITCH BLACK,"$23,000,000 ","$39,235,088 ","$53,182,088 ",horror,7.1,49,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Twohy,Radha Mitchell,Cole Hauser,Vin Diesel,18-Feb,2000
READY OR NOT,"$6,000,000.00 ","$28,714,231.00 ","$56,785,851.00 ",horror,6.8,64,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Tyler Gillett,Samara Weaving,Adam Brody,Mark O'Brien,21-Aug,2019
REPO! THE GENETIC OPERA,"$8,500,000 ","$140,244 ","$198,883 ",horror,6.4,32,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Darren Lynn Bousman,Paul Sorvino,Anthony Head,Alexa PenaVega,20-Nov,2008
RESIDENT EVIL: THE FINAL CHAPTER,"$40,000,000.00 ","$26,844,692.00 ","$314,101,190.00 ",horror,5.5,49,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Paul W.S. Anderson,Milla Jovovich,Iain Glen,Ali Larter,27-Jan,2017
RESIDENT EVIL: WELCOME TO RACCOON CITY,"$25,000,000 ","$17,000,612 ","$41,909,091 ",horror,5.2,44,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Johannes Roberts,Kaya Scodelario,Robbie Amell,Hannah John-Kamen,24-Nov,2021
SAW,"$1,200,000 ","$55,968,727 ","$103,880,027 ",horror,7.6,46,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Wan,Cary Elwes,Leigh Whannell,Danny Glover,29-Oct,2004
SCARY MOVIE 2,"$45,000,000.00 ","$71,277,420.00 ","$141,189,101.00 ",horror,5.3,29,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Keenen Ivory Wayans,Anna Faris,Marlon Wayans,Antony Acker,4-Jul,2001
SCREAM,"$24,000,000.00 ","$81,641,405.00 ","$138,874,789.00 ",horror,6.3,60,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Tyler Gillett,Melissa Barrera,Neve Campbell,Courteney Cox,14-Jan,2022
SCREAM 3,"$40,000,000.00 ","$89,138,076.00 ","$161,838,076.00 ",horror,5.6,56,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Wes Craven,David Arquette,Neve Campbell,Courteney Cox,4-Feb,2000
SCREAM 3,"$40,000,000.00 ","$89,138,076.00 ","$161,838,076.00 ",horror,6.2,52,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Wes Craven,Neve Campbell,Courteney Cox,David Arquette,15-Apr,2011
SCREAM 4,"$40,000,000.00 ","$38,180,928.00 ","$95,989,590.00 ",horror,7.6,71,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Aneesh Chaganty,John Cho,Debra Messing,Joseph Lee,31-Aug,2018
SEARCHING,"$880,000 ","$26,015,149 ","$75,636,047 ",horror,7.9,76,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield,24-Sep,2004
SHAUN OF THE DEAD,"$5,000,000 ","$13,542,874 ","$29,832,586 ",horror,6.5,31,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Christophe Gans,Radha Mitchell,Laurie Holden,Sean Bean,21-Apr,2006
SILENT HILL,"$50,000,000.00 ","$46,982,632.00 ","$94,704,227.00 ",horror,6.8,53,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Scott Derrickson,Ethan Hawke,Juliet Rylance,James Ransone,12-Oct,2012
SLEEPY HOLLOW,"$70,000,000.00 ","$101,068,340.00 ","$207,068,340.00 ",horror,6.6,68,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Parker Finn,Sosie Bacon,Jessie T. Usher,Kyle Gallner,30-Sep,2022
SMILE,"$17,000,000 ","$105,935,048 ","$216,049,734 ",horror,6.6,78,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Christian Tafdrup,Morten Burian,Sidsel Siem Koch,Fedja van Huêt,17-Mar,2022
SPEAK NO EVIL,"$150,000 ",$0 ,"$247,345 ",horror,5.2,40,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Darren Lynn Bousman,Chris Rock,Samuel L. Jackson,Max Minghella,14-May,2021
SPIRAL,"$20,000,000 ","$23,216,862 ","$39,519,588 ",horror,7.3,62,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,M. Night Shyamalan,James McAvoy,Anya Taylor-Joy,Haley Lu Richardson,20-Jan,2017
SPLIT,"$9,000,000 ","$138,141,585 ","$278,754,594 ",horror,6.7,64,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Luca Guadagnino,Chloë Grace Moretz,Tilda Swinton,Doris Hick,2-Nov,2018
SUSPIRIA,"$20,000,000 ","$2,483,472 ","$8,075,343 ",horror,5.6,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Damien Leone,Jenna Kanell,Samantha Scaffidi,David Howard Thornton,15-Mar,2018
TERRIFIER 2,"$250,000 ","$10,640,105 ","$12,791,494 ",horror,6.8,86,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jennifer Kent,Essie Davis,Noah Wiseman,Daniel Henshall,28-Nov,2014
THE CABIN IN THE WOODS,"$30,000,000.00 ","$42,073,277.00 ","$70,683,134.00 ",horror,7.1,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Chung-Hyun Lee,Park Shin-Hye,Jeon Jong-seo,Kim Sung-ryung,27-Nov,2020
THE CALL,"$12,800,000 ","$51,872,378 ","$69,821,476 ",horror,7.5,68,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Wan,Patrick Wilson,Vera Farmiga,Ron Livingston,19-Jul,2013
THE CONJURING,"$20,000,000 ","$137,400,141 ","$317,071,550 ",horror,6.3,53,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Michael Chaves,Patrick Wilson,Vera Farmiga,Ruairi O'Connor,4-Jun,2021
THE CRAFT,"$15,000,000 ","$24,769,466 ","$55,669,466 ",horror,6.5,56,"https://m.media-amazon.com/images/M/MV5BMjAzMDU5OTg0NV5BMl5BanBnXkFtZTcwNDQ4MjcwMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Breck Eisner,Radha Mitchell,Timothy Olyphant,Danielle Panabaker,26-Feb,2010
THE CRAZIES,"$19,000,000 ","$39,123,589 ","$56,445,534 ",horror,7.2,71,"https://m.media-amazon.com/images/M/MV5BMjA5NzQ1NTgwNV5BMl5BanBnXkFtZTcwNjUxMzUzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Neil Marshall,Shauna Macdonald,Natalie Mendoza,Alex Reid,4-Aug,2006
THE EVIL DEAD,"$14,325,000.00 ","$375,000.00 ",3720%,horror,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Gordon Green,Ellen Burstyn,Leslie Odom Jr.,Ann Dowd,13-Oct,2023
THE GIRL NEXT DOOR,"$25,000,000 ","$14,589,444 ","$31,635,150 ",horror,6.5,29,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Gregory Wilson,William Atherton,Blythe Auffarth,Blanche Baker,17-Oct,2008
THE GREEN INFERNO,"$1,000,000 ","$7,192,291 ","$12,931,420 ",horror,5.3,38,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Eli Roth,Lorenza Izzo,Ariel Levy,Aaron Burns,25-Sep,2015
THE HILLS HAVE EYES,"$17,000,000 ","$41,778,863 ","$70,355,813 ",horror,6.4,52,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alexandre Aja,Ted Levine,Kathleen Quinlan,Dan Byrd,10-Mar,2006
THE HOST,"$50,000,000.00 ","$26,623,701.00 ","$64,477,051.00 ",horror,7.1,85,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Bong Joon Ho,Song Kang-ho,Byun Hee-Bong,Park Hae-il,30-Mar,2007
THE HUNT,"$18,200,000.00 ","$5,812,500.00 ","$12,400,979.00 ",horror,6.5,50,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Craig Zobel,Betty Gilpin,Hilary Swank,Ike Barinholtz,13-Mar,2020
THE INVITATION,"$1,000,000 ","$231,738 ","$354,836 ",horror,5.3,45,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jessica M. Thompson,Nathalie Emmanuel,Thomas Doherty,Sean Pertwee,26-Aug,2022
THE LAST HOUSE ON THE LEFT,"$87,000.00 ","$3,100,000.00 ","$3,100,000.00 ",horror,6.5,42,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Dennis Iliadis,Garret Dillahunt,Monica Potter,Tony Goldwyn,13-Mar,2009
THE MEG,"$178,000,000.00 ","$145,443,742.00 ","$527,267,828.00 ",horror,5.6,46,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jon Turteltaub,Jason Statham,Bingbing Li,Rainn Wilson,10-Aug,2018
THE MENU,"$30,000,000.00 ","$38,501,125.00 ","$73,098,159.00 ",horror,7.2,71,"https://m.media-amazon.com/images/M/MV5BMzdjNjI5MmYtODhiNS00NTcyLWEzZmUtYzVmODM5YzExNDE3XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UX67_CR0,0,67,98_AL_.jpg",Mark Mylod,Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,18-Nov,2022
THE MIST,"$13,000,000.00 ","$25,593,755.00 ","$57,189,408.00 ",horror,7.1,58,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Frank Darabont,Thomas Jane,Marcia Gay Harden,Laurie Holden,21-Nov,2007
THE MUMMY,"$195,000,000.00 ","$80,101,125.00 ","$409,953,905.00 ",horror,5.4,34,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alex Kurtzman,Tom Cruise,Sofia Boutella,Annabelle Wallis,9-Jun,2017
THE MUMMY: TOMB OF THE DRAGON EMPEROR,"$175,000,000.00 ","$102,491,776.00 ","$405,760,225.00 ",horror,5.2,31,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Rob Cohen,Brendan Fraser,Jet Li,Maria Bello,1-Aug,2008
THE NEON DEMON,"$7,500,000 ","$1,333,124 ","$3,559,803 ",horror,6.1,51,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Nicolas Winding Refn,Elle Fanning,Christina Hendricks,Keanu Reeves,24-Jun,2016
