movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_tomato_audience,movie_tomato_tomatometer,movie_imdb_rating,movie_imdb_metascore,movie_average_score,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
MAGIC MIKE,"$7,000,000 ","$113,721,571 ","$170,549,753 ",comedy,60,78,6.1,72,67.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Steven Soderbergh,Channing Tatum,Alex Pettyfer,Olivia Munn,29-Jun,2012
WORLD WAR Z,"$190,000,000.00 ","$202,706,711.00 ","$531,861,650.00 ",action,72,66,7,63,67.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Marc Forster,Brad Pitt,Mireille Enos,Daniella Kertesz,21-Jun,2013
IT COMES AT NIGHT,"$5,000,000 ","$13,985,117 ","$19,720,203 ",horror,44,88,6.2,78,68,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Trey Edward Shults,Joel Edgerton,Christopher Abbott,Carmen Ejogo,9-Jun,2017
SWISS ARMY MAN,"$3,000,000 ","$4,210,454 ","$5,837,111 ",comedy,72,67,6.9,64,68,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Daniel Scheinert,Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead,1-Jul,2016
GHOSTBUSTERS: AFTERLIFE,"$75,000,000.00 ","$129,360,575.00 ","$203,614,138.00 ",comedy,94,63,7.1,45,68.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jason Reitman,Carrie Coon,Paul Rudd,Finn Wolfhard,19-Nov,2021
RED DRAGON,"$78,000,000.00 ","$92,955,420.00 ","$206,455,420.00 ",crime,74,69,6,72,68.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Brett Ratner,Anthony Hopkins,Edward Norton,Ralph Fiennes,4-Oct,2002
THE READER,"$32,500,000 ","$34,194,407 ","$112,964,875 ",romance,79,63,7.6,58,69,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Stephen Daldry,Kate Winslet,Ralph Fiennes,Bruno Ganz,30-Jan,2009
BAD TIMES AT THE EL ROYALE,"$32,000,000 ","$17,839,115 ","$31,178,942 ",crime,74,74,7.1,60,69.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,12-Oct,2018
LIGHTYEAR,"$200,000,000.00 ","$118,307,188.00 ","$218,768,299.00 ",action,84,74,6.1,60,69.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Angus MacLane,(voice),(voice),(voice),17-Jun,2022
MINIONS: THE RISE OF GRU,"$80,000,000 ","$369,695,210 ","$940,270,567 ",comedy,89,70,6.5,56,70,"https://m.media-amazon.com/images/M/MV5BZDQyODUwM2MtNzA0YS00ZjdmLTgzMjItZWRjN2YyYWE5ZTNjXkEyXkFqcGdeQXVyMTI2MzY1MjM1._V1_UX67_CR0,0,67,98_AL_.jpg",Jonathan del Val,Steve Carell,Pierre Coffin,Alan Arkin,1-Jul,2022
SLEEPERS,"$44,000,000.00 ","$53,300,852.00 ","$165,600,852.00 ",crime,85,73,7.5,49,70.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,18-Oct,1996
10 THINGS I HATE ABOUT YOU,"$13,000,000.00 ","$38,177,966.00 ","$60,413,950.00 ",romance,69,71,7.3,70,70.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Gil Junger,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,31-Mar,1999
THE LOST CITY,"$74,000,000.00 ","$105,344,029.00 ","$182,921,990.00 ",romance,83,79,6.1,60,70.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Adam Nee,Sandra Bullock,Channing Tatum,Daniel Radcliffe,25-Mar,2022
