movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_tomato_audience,movie_tomato_tomatometer,movie_imdb_rating,movie_imdb_metascore,movie_average_score,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
AS GOOD AS IT GETS,"$50,000,000.00 ","$148,478,011.00 ","$314,111,923.00 ",romance,86,86,7.7,67,79,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,25-Dec,1997
BLUE VALENTINE,"$1,000,000 ","$9,737,892 ","$16,566,240 ",romance,77,86,7.3,81,79.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Derek Cianfrance,Ryan Gosling,Michelle Williams,John Doman,28-Jan,2011
IN BRUGES,"$15,000,000 ","$7,800,825 ","$34,527,095 ",comedy,87,84,7.9,67,79.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Martin McDonagh,Colin Farrell,Brendan Gleeson,Ciarán Hinds,Feb-29,2008
INTERSTELLAR,"$165,000,000.00 ","$188,017,894.00 ","$648,785,349.00 ",scifi,86,72,8.6,74,79.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,7-Nov,2014
HEREDITARY,"$10,000,000 ","$44,069,456 ","$81,263,489 ",horror,69,90,7.3,87,79.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ari Aster,Toni Collette,Milly Shapiro,Gabriel Byrne,8-Jun,2018
PRISONERS,"$46,000,000.00 ","$61,002,302.00 ","$113,310,547.00 ",crime,87,81,8.1,70,79.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,20-Sep,2013
GREEN BOOK,"$23,000,000.00 ","$85,080,171.00 ","$319,995,019.00 ",comedy,91,77,8.2,69,79.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,16-Nov,2018
DOCTOR ZHIVAGO,"$11,000,000 ","$111,897,830 ","$112,040,388 ",romance,88,84,7.9,69,80,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Lean,Omar Sharif,Julie Christie,Geraldine Chaplin,31-Dec,1965
THE BAD GUYS,"$70,000,000.00 ","$97,233,630.00 ","$250,648,674.00 ",comedy,93,96,6.8,64,80.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Pierre Perifel,Sam Rockwell,Marc Maron,Awkwafina,22-Apr,2022
THE BATMAN,"$200,000,000.00 ","$369,345,583.00 ","$767,531,825.00 ",crime,87,85,7.8,72,80.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Matt Reeves,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,4-Mar,2022
THE TRUMAN SHOW,"$60,000,000.00 ","$125,618,201.00 ","$264,118,201.00 ",comedy,89,61,8.2,90,80.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,5-Jun,1998
SCARFACE,"$25,000,000 ","$44,942,821 ","$44,942,821 ",crime,93,81,8.3,65,80.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,9-Dec,1983
OUT OF SIGHT,"$48,000,000.00 ","$37,562,568.00 ","$77,562,568.00 ",crime,74,94,8.5,70,80.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Steven Soderbergh,George Clooney,Jennifer Lopez,Ving Rhames,26-Jun,1998
ZODIAC,"$85,000,000 ","$33,080,084 ","$83,080,084 ",crime,77,90,7.7,79,80.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,2-Mar,2007
INSIDE MAN,"$50,000,000.00 ","$88,634,237.00 ","$185,798,265.00 ",crime,85,86,7.6,76,80.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,24-Mar,2006
THE SHAPE OF WATER,"$19,500,000 ","$63,859,435 ","$195,790,794 ",romance,72,92,7.3,87,81,"https://m.media-amazon.com/images/M/MV5BNGNiNWQ5M2MtNGI0OC00MDA2LWI5NzEtMmZiYjVjMDEyOWYzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg",Guillermo del Toro,Sally Hawkins,Octavia Spencer,Michael Shannon,22-Dec,2017
AMERICAN GANGSTER,"$100,000,000.00 ","$130,164,645.00 ","$267,985,456.00 ",crime,89,81,7.6,78,81,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,2-Nov,2007
TRUE ROMANCE,"$12,500,000 ","$12,281,000 ","$12,643,293 ",crime,93,93,7.9,59,81,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,10-Sep,1993
ATONEMENT,"$30,000,000.00 ","$50,980,159.00 ","$129,779,728.00 ",romance,80,83,7.8,85,81.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,11-Jan,2008
MINORITY REPORT,"$102,000,000.00 ","$132,024,714.00 ","$358,824,714.00 ",action,80,90,7.6,80,81.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,21-Jun,2002
AVATAR,"$237,000,000.00 ","$785,221,649.00 ","$2,923,706,026.00 ",scifi,82,82,7.9,83,81.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,18-Dec,2009
KNOCKED UP,"$27,500,000.00 ","$148,761,765.00 ","$219,265,952.00 ",romance,83,89,6.9,85,81.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Judd Apatow,Seth Rogen,Katherine Heigl,Paul Rudd,1-Jun,2007
SPIDER-MAN: HOMECOMING,"$175,000,000.00 ","$334,201,140.00 ","$878,271,291.00 ",action,87,92,7.4,73,81.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,7-Jul,2017
CASINO,"$52,000,000.00 ","$42,438,300.00 ","$110,400,000.00 ",crime,93,79,8.2,73,81.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,22-Nov,1995
DRIVE,"$15,000,000 ","$35,060,689 ","$81,357,930 ",action,79,93,7.8,78,82,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,16-Sep,2011
WIND RIVER,"$11,000,000 ","$33,800,859 ","$44,984,979 ",crime,90,88,7.7,73,82,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Taylor Sheridan,Elizabeth Olsen,Jeremy Renner,Graham Greene,18-Aug,2017
MRS. HARRIS GOES TO PARIS,"$13,000,000.00 ","$10,433,915.00 ","$31,130,159.00 ",comedy,93,94,7.1,70,82,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Anthony Fabian,Lesley Manville,Isabelle Huppert,Lambert Wilson,15-Jul,2022
SPIDER-MAN: FAR FROM HOME,"$160,000,000.00 ","$390,532,085.00 ","$1,132,107,522.00 ",action,95,90,7.4,69,82,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jon Watts,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal,2-Jul,2019
GONE BABY GONE,"$19,000,000 ","$20,300,218 ","$34,359,030 ",crime,86,95,7.2,76,82.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,19-Oct,2007
AVENGERS: INFINITY WAR,"$1,128,181,503.00 ","$368,812,000.00 ","$759,369,503.00 ",scifi,92,85,8.4,68,82.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,27-Apr,2018
THOR: RAGNAROK,"$180,000,000.00 ","$315,058,289.00 ","$850,482,778.00 ",comedy,87,90,7.9,74,82.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,3-Nov,2017
THE HUNGER GAMES: CATCHING FIRE,"$130,000,000.00 ","$424,668,047.00 ","$864,868,047.00 ",scifi,89,90,7.5,76,82.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,22-Nov,2013
CAPTAIN AMERICA: THE WINTER SOLDIER,"$170,000,000.00 ","$259,746,958.00 ","$714,401,889.00 ",action,92,90,7.8,70,82.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,4-Apr,2014
BLADE RUNNER 2049,"$185,000,000.00 ","$92,054,159.00 ","$258,829,058.00 ",scifi,82,88,8,81,82.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,6-Oct,2017
EASTERN PROMISES,"$50,000,000.00 ","$17,181,265.00 ","$56,077,088.00 ",crime,83,89,8.3,76,82.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,21-Sep,2007
EDGE OF TOMORROW,"$178,000,000.00 ","$100,206,256.00 ","$367,028,980.00 ",scifi,90,91,7.9,71,82.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Doug Liman,Tom Cruise,Emily Blunt,Bill Paxton,6-Jun,2014
ENCANTO,"$150,000,000.00 ","$96,093,622.00 ","$231,133,858.00 ",comedy,93,91,7.2,75,82.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Charise Castro Smith,Stephanie Beatriz,María Cecilia Botero,John Leguizamo,24-Nov,2021
CAPTAIN AMERICA: CIVIL WAR,"$250,000,000.00 ","$408,084,349.00 ","$1,151,899,586.00 ",action,89,90,7.8,75,83,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,6-May,2016
BIRDMAN OR (THE UNEXPECTED VIRTUE OF IGNORANCE),"$18,000,000.00 ","$42,340,598.00 ","$102,926,247.00 ",comedy,78,91,7.7,87,83.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alejandro G. Iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,14-Nov,2014
CAROL,"$11,800,000 ","$12,711,491 ","$42,354,525 ",romance,74,94,7.2,94,83.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Todd Haynes,Cate Blanchett,Rooney Mara,Sarah Paulson,15-Jan,2016
BROKEBACK MOUNTAIN,"$13,900,000.00 ","$83,043,761.00 ","$176,980,863.00 ",romance,82,88,7.7,87,83.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,13-Jan,2006
MIDNIGHT IN PARIS,"$30,000,000.00 ","$56,816,662.00 ","$162,275,213.00 ",romance,83,93,7.7,81,83.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Woody Allen,Owen Wilson,Rachel McAdams,Kathy Bates,10-Jun,2011
THE GRAND BUDAPEST HOTEL,"$31,000,000.00 ","$59,076,019.00 ","$163,503,514.00 ",comedy,86,79,8.1,88,83.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,28-Mar,2014
THE LAST OF THE MOHICANS,"$40,000,000.00 ","$75,505,856.00 ","$75,505,856.00 ",romance,88,93,7.7,76,83.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,25-Sep,1992
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,"$150,000,000.00 ","$224,543,292.00 ","$432,224,634.00 ",action,98,91,7.4,71,83.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Destin Daniel Cretton,Simu Liu,Awkwafina,Tony Chiu-Wai Leung,3-Sep,2021
SICARIO,"$30,000,000.00 ","$46,889,293.00 ","$84,264,182.00 ",crime,85,92,7.6,82,83.75,"https://m.media-amazon.com/images/M/MV5BMjA5NjM3NTk1M15BMl5BanBnXkFtZTgwMzg1MzU2NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,2-Oct,2015
NIGHTCRAWLER,"$8,500,000 ","$32,381,218 ","$50,334,418 ",crime,86,95,7.8,76,83.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Dan Gilroy,Jake Gyllenhaal,Rene Russo,Bill Paxton,31-Oct,2014
GROUNDHOG DAY,"$14,600,000 ","$71,097,843 ","$71,112,677 ",romance,88,94,8.1,72,83.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott,12-Feb,1993
BLACK PANTHER,"$200,000,000.00 ","$700,059,566.00 ","$1,336,494,320.00 ",action,79,96,7.3,88,84,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,16-Feb,2018
ARRIVAL,"$47,000,000.00 ","$100,546,139.00 ","$202,754,970.00 ",scifi,82,94,7.9,81,84,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,11-Nov,2016
A QUIET PLACE,"$17,000,000 ","$188,024,361 ","$334,876,670 ",horror,83,96,7.5,82,84,"https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_UX67_CR0,0,67,98_AL_.jpg",John Krasinski,Emily Blunt,John Krasinski,Millicent Simmonds,6-Apr,2018
SILVER LININGS PLAYBOOK,"$21,000,000 ","$132,092,958 ","$236,412,453 ",romance,86,92,7.7,81,84,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,25-Dec,2012
PRIDE & PREJUDICE,"$28,000,000.00 ","$38,372,662.00 ","$126,549,607.00 ",romance,89,87,7.8,82,84,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,23-Nov,2005
BLACKKKLANSMAN,"$15,000,000 ","$49,275,340 ","$93,411,426 ",crime,83,96,8.3,75,84.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Spike Lee,John David Washington,Adam Driver,Laura Harrier,10-Aug,2018
ONCE UPON A TIME IN AMERICA,"$30,000,000.00 ","$5,321,508.00 ","$5,576,072.00 ",crime,93,87,8.3,75,84.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,1-Jun,1984
THE WOMAN KING,"$50,000,000.00 ","$67,328,130.00 ","$94,374,749.00 ",action,99,94,6.8,77,84.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Gina Prince-Bythewood,Viola Davis,Thuso Mbedu,Lashana Lynch,16-Sep,2022
MYSTIC RIVER,"$30,000,000.00 ","$90,135,191.00 ","$156,822,020.00 ",crime,89,88,8.4,79,85,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,15-Oct,2003
INCEPTION,"$160,000,000.00 ","$292,576,195.00 ","$728,537,960.00 ",scifi,91,87,8.8,74,85,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,16-Jul,2010
GUARDIANS OF THE GALAXY,"$170,000,000.00 ","$333,714,112.00 ","$770,882,395.00 ",scifi,92,92,8,76,85,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,1-Aug,2014
CATCH ME IF YOU CAN,"$52,000,000.00 ","$164,606,800.00 ","$355,612,291.00 ",crime,89,96,8.1,75,85.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,25-Dec,2002
LOGAN,"$127,000,000.00 ","$226,277,068.00 ","$614,202,315.00 ",action,90,94,8.1,77,85.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,3-Mar,2017
IRON MAN,"$186,000,000.00 ","$318,604,126.00 ","$585,171,547.00 ",scifi,91,94,7.9,79,85.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,2-May,2008
EVERYTHING EVERYWHERE ALL AT ONCE,"$25,000,000 ","$73,265,492 ","$107,446,286 ",scifi,88,95,8,81,86,"https://m.media-amazon.com/images/M/MV5BYTdiOTIyZTQtNmQ1OS00NjZlLWIyMTgtYzk5Y2M3ZDVmMDk1XkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_UY98_CR0,0,67,98_AL_.jpg",Daniel Scheinert,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,8-Apr,2022
LA LA LAND,"$20,000,000 ","$151,101,803 ","$437,459,811 ",romance,81,91,8,94,86.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,25-Dec,2016
GET OUT,"$5,000,000 ","$175,837,935 ","$252,297,405 ",horror,86,98,7.7,85,86.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,24-Feb,2017
AVENGERS: ENDGAME,"$400,000,000.00 ","$858,373,000.00 ","$2,794,731,755.00 ",scifi,90,94,8.4,78,86.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,26-Apr,2019
HOW TO TRAIN YOUR DRAGON,"$165,000,000.00 ","$217,581,232.00 ","$494,870,992.00 ",comedy,91,99,8.1,75,86.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Chris Sanders,(voice),(voice),(voice),26-Mar,2010
RESERVOIR DOGS,"$1,200,000 ","$2,832,029 ","$2,990,680 ",crime,94,90,8.3,79,86.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,2-Sep,1992
THE USUAL SUSPECTS,"$6,000,000.00 ","$23,341,568.00 ","$34,449,356.00 ",crime,96,88,8.5,77,86.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,16-Aug,1995
HER,"$23,000,000 ","$25,568,251 ","$48,043,998 ",romance,82,94,8,91,86.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Spike Jonze,Joaquin Phoenix,Amy Adams,(voice),10-Jan,2014
2001: A SPACE ODYSSEY,"$10,500,000 ","$59,936,321 ","$71,801,274 ",scifi,89,91,8.3,84,86.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,24-Jun,1970
HELL OR HIGH WATER,"$12,000,000 ","$27,007,844 ","$37,566,117 ",crime,88,97,7.6,88,87.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,26-Aug,2016
KNIVES OUT,"$40,000,000.00 ","$165,364,060.00 ","$312,898,746.00 ",comedy,92,97,7.9,82,87.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,27-Nov,2019
BEFORE SUNRISE,"$2,500,000 ","$5,274,005 ","$5,691,852 ",romance,93,100,8.1,77,87.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,27-Jan,1995
CALL ME BY YOUR NAME,"$3,500,000.00 ","$18,065,180.00 ","$41,649,462.00 ",romance,86,94,7.8,94,88,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Luca Guadagnino,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg,19-Jan,2018
BEFORE MIDNIGHT,"$3,000,000 ","$8,110,621 ","$23,241,189 ",romance,82,98,7.9,94,88.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Richard Linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,14-Jun,2013
NO COUNTRY FOR OLD MEN,"$25,000,000 ","$74,273,505 ","$164,035,753 ",crime,86,93,8.2,92,88.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,21-Nov,2007
MAD MAX: FURY ROAD,"$150,000,000.00 ","$153,636,354.00 ","$365,769,378.00 ",action,86,97,8.1,90,88.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,15-May,2015
THE TERMINATOR,"$6,400,000.00 ","$38,019,031.00 ","$78,019,031.00 ",scifi,89,100,8.1,84,88.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,26-Oct,1984
FARGO,"$7,000,000 ","$24,567,751 ","$51,203,507 ",crime,93,94,8.1,86,88.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi,5-Apr,1996
TOP GUN: MAVERICK,"$170,000,000.00 ","$718,732,821.00 ","$1,483,356,646.00 ",action,99,96,8.3,78,89,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joseph Kosinski,Tom Cruise,Jennifer Connelly,Miles Teller,27-May,2022
ETERNAL SUNSHINE OF THE SPOTLESS MIND,"$20,000,000 ","$34,366,518 ","$72,401,378 ",scifi,94,92,8.3,89,89.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,19-Mar,2004
GONE WITH THE WIND,"$3,900,000.00 ","$198,680,470.00 ","$390,525,192.00 ",romance,92,90,8.2,97,90.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sam Wood,Clark Gable,Vivien Leigh,Thomas Mitchell,17-Jan,1940
THE SILENCE OF THE LAMBS,"$20,000,000 ","$130,726,716 ","$275,726,716 ",crime,95,95,8.6,85,90.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,14-Feb,1991
THE DARK KNIGHT,"$185,000,000.00 ","$534,987,076.00 ","$1,006,234,167.00 ",action,94,94,9,84,90.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,18-Jul,2008
ALIEN,"$10,700,000 ","$62,005,728 ","$184,638,105 ",horror,94,98,8.5,89,91.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,22-Jun,1979
PULP FICTION,"$8,000,000 ","$107,928,762 ","$212,891,760 ",crime,96,92,8.9,94,92.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,14-Oct,1994
GOODFELLAS,"$25,000,000 ","$46,743,809 ","$47,103,483 ",crime,97,96,8.7,91,92.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,21-Sep,1990
THE GODFATHER,"$7,000,000 ","$136,479,994 ","$270,007,394 ",crime,98,97,9.2,100,96.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,24-Mar,1972
